,username,datetime,comment,likes,url
43,darealreyes,2021-05-27T21:14:22.000Z,I’m barely seeing this 😢,1 like,https://www.instagram.com/p/B79cmW0J1SN/
44,19juancho90,2021-05-28T22:09:59.000Z,Miss u Kobe 😢,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
45,tyhunter24,2021-05-29T06:12:17.000Z,Still unreal,5 likes,https://www.instagram.com/p/B79cmW0J1SN/
46,stay_golden_sis,2021-05-29T21:09:20.000Z,Why so many black kings dying 😢,10 likes,https://www.instagram.com/p/B79cmW0J1SN/
47,thalitaa_gabrielee,2021-05-30T05:17:50.000Z,@ruan.rikelmy3,1 like,https://www.instagram.com/p/B79cmW0J1SN/
48,ekuma17,2021-05-07T10:01:19.000Z,Still hurts💔🙏🏿,Reply,https://www.instagram.com/p/B79cmW0J1SN/
49,kenzie.fy,2021-05-07T16:29:19.000Z,best 2k intro ever ngl,15 likes,https://www.instagram.com/p/B79cmW0J1SN/
50,kenzo37h,2021-05-09T20:14:36.000Z,😢😢😢,3 likes,https://www.instagram.com/p/B79cmW0J1SN/
51,kingtitaniumtwmg,2021-05-09T22:15:32.000Z,🙌🔥🙌🙌🙌🙌🙌,1 like,https://www.instagram.com/p/B79cmW0J1SN/
52,2kjamz,2021-05-10T16:41:58.000Z,THE BEST 2K RIP KOBE🐐🙏🏾,6 likes,https://www.instagram.com/p/B79cmW0J1SN/
53,tb_23chill,2021-05-12T02:46:04.000Z,"“For God so loved the world that He gave His only begotten Son, that whoever believes in Him should not perish but have everlasting life. For God did not send His Son into the world to condemn the world, but that the world through Him might be saved. “He who believes in Him is not condemned; but he who does not believe is condemned already, because he has not believed in the name of the only begotten Son of God. And this is the condemnation, that the light has come into the world, and men loved darkness rather than light, because their deeds were evil. For everyone practicing evil hates the light and does not come to the light, lest his deeds should be exposed. But he who does the truth comes to the light, that his deeds may be clearly seen, that they have been done in God.””‭‭John‬ ‭3:16-21‬ ‭NKJV‬‬",13 likes,https://www.instagram.com/p/B79cmW0J1SN/
54,lahijadelsinu6,2021-05-14T20:50:42.000Z,👏👏👏🔥,1 like,https://www.instagram.com/p/B79cmW0J1SN/
55,ariamirzakhanlou,2021-05-15T04:09:19.000Z,Kobe 😭😭😭😭,3 likes,https://www.instagram.com/p/B79cmW0J1SN/
56,lambo_the_producer,2021-05-15T13:17:28.000Z,🙌🙌🙌🙌,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
57,russ.manny,2021-05-15T15:50:07.000Z,🐐,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
58,susanabautistav,2021-05-15T21:18:55.000Z,😢,1 like,https://www.instagram.com/p/B79cmW0J1SN/
59,deandrestinson_,2021-05-16T02:25:58.000Z,😢,1 like,https://www.instagram.com/p/B79cmW0J1SN/
60,na_man27,2021-05-01T16:09:31.000Z,😢😢😢,1 like,https://www.instagram.com/p/B79cmW0J1SN/
61,z6trey,2021-05-01T18:23:59.000Z,2k17 days 😭,Reply,https://www.instagram.com/p/B79cmW0J1SN/
62,sugar2409,2021-05-01T23:47:42.000Z,😢😢😢still can’t believe it! 😢😢,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
63,steven_mclees,2021-05-02T03:09:55.000Z,Amazing,3 likes,https://www.instagram.com/p/B79cmW0J1SN/
64,omaira_south_pacific_islands,2021-05-02T09:30:59.000Z,RIP Kobe 😢😢😢,5 likes,https://www.instagram.com/p/B79cmW0J1SN/
65,stevibosco,2021-05-02T20:40:27.000Z,C’était le meilleur jeux,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
66,youlikemike,2021-05-03T04:04:03.000Z,2k17 days = much better times,12 likes,https://www.instagram.com/p/B79cmW0J1SN/
67,jaysonjovanni,2021-05-03T14:32:08.000Z,Rip🙏🙏🙏,Reply,https://www.instagram.com/p/B79cmW0J1SN/
68,youlikemike,2021-05-04T00:58:57.000Z,@ohletsdudas prettt sure this was the best year for my player :(,4 likes,https://www.instagram.com/p/B79cmW0J1SN/
69,graffiti_vintage,2021-05-04T03:53:23.000Z,Kobe,2 likes,https://www.instagram.com/p/B79cmW0J1SN/
70,isthattai,2021-05-05T00:03:04.000Z,😢😢😢😢💔💔💔,1 like,https://www.instagram.com/p/B79cmW0J1SN/
71,vj____17,2021-05-06T18:23:53.000Z,🙏🙏🙏🙏,1 like,https://www.instagram.com/p/B79cmW0J1SN/
