,username,datetime,comment,likes,url
42,teresavincenti,2020-07-25T18:42:56.000Z,👏,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
43,tunrayo.__,2020-07-27T01:16:08.000Z,🙌❤️,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
44,tunrayo.__,2020-07-27T01:16:27.000Z,@c.syresmith 👏❤️❤️,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
45,angelrobertoarmas,2020-08-01T11:48:41.000Z,👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
46,mrdicktalk,2020-08-18T04:25:29.000Z,Oh satan😔 you have their souls now don’t you.,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
47,____so_dianaaa,2020-08-20T06:19:31.000Z,Roddy rich would off on this song,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
48,whoboris,2020-07-05T08:08:24.000Z,🎂🎂🎂🎂🔥🔥🔥🔥,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
49,jayjay2x___,2020-07-05T08:57:52.000Z,HAPPY ERYS DAY 😈😈😈🤟🏾🤟🏾🤟🏾🔥🔥🔥🎉🎉🖤🖤🖤🖤,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
50,vintageselecta,2020-07-05T15:31:06.000Z,💜💜💜💜💜💜💜,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
51,noahnyoni,2020-07-06T00:01:03.000Z,One year🥳🥳🥳🎂🎂🎂,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
52,yessiluvsramirez,2020-07-06T03:39:01.000Z,one year 😎👋🏼,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
53,elenasarantis,2020-07-06T17:04:43.000Z,obsessseddd☁️💞,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
54,antonellaestefania2,2020-07-07T03:44:52.000Z,👌🏻🔥,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
55,roxanita_time,2020-07-08T08:21:25.000Z,💗💗💗💗💗,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
56,mariyam.oro,2020-07-08T20:12:04.000Z,happy birthday ERYS 💜💛,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
57,cosysszn,2020-07-09T09:11:57.000Z,❤️❤️❤️ bless up,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
58,miss___honeyyy,2020-07-09T10:14:26.000Z,Am addicted to this song 💓,2 likes,https://www.instagram.com/p/BzhWoYegjIJ/
59,astro_tochi,2020-07-09T11:32:03.000Z,😭🔥,1 like,https://www.instagram.com/p/BzhWoYegjIJ/
60,bmahabq,2020-07-03T11:50:36.000Z,😍,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
61,bmahabq,2020-07-03T11:50:38.000Z,😍,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
62,bmahabq,2020-07-03T11:50:40.000Z,😍,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
63,bmahabq,2020-07-03T11:50:42.000Z,😍,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
64,bmahabq,2020-07-03T11:50:43.000Z,😍,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
65,bmahabq,2020-07-03T11:50:45.000Z,😍,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
66,naeohmii,2020-07-03T13:16:59.000Z,How many retweet’s for you to listen to my song that was inspired by you “Trophy”?,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
67,itachi_uc1,2020-07-04T03:53:32.000Z,😍,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
68,vrjakub,2020-07-04T06:34:22.000Z,Been a year🙏,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
69,whoboris,2020-07-04T11:26:10.000Z,1 year,Reply,https://www.instagram.com/p/BzhWoYegjIJ/
