,username,datetime,comment,likes,url
45,imjoshboyd,2020-01-21T13:52:33.000Z,"🤣 Love it, Ken!",Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
46,tire_lady,2020-01-21T14:12:25.000Z,😂,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
47,tayameonoo_,2020-01-21T14:24:47.000Z,😂😂😂😂😂😂😂😂😂😂😂😂,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
48,sudimae,2020-01-21T14:26:55.000Z,I would be a champion at this game. Just saying. I knew that was heavy!,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
49,sarahv_yoga,2020-01-21T14:27:23.000Z,"The minute you icked out on the one kernel, I knew it was heavy!!",Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
50,stacymoon9,2020-01-21T14:28:18.000Z,Please let @kenjeong be on @dancingabc 🙏,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
51,duhitsheatherb,2020-01-21T14:31:55.000Z,Alright 🎤 drop #butdidyoudie 🙌🏻🙌🏻🔥🔥,1 like,https://www.instagram.com/p/B7kpV-Jl8jr/
52,luvgkate,2020-01-21T14:33:16.000Z,😂😭,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
53,kobebryantsfan,2020-01-21T07:40:29.000Z,Thank you so much for letting us fans interact with you and get pics sir! I’m trying to get into acting myself by starting off as background. Appreciate you sir! 🙏,1 like,https://www.instagram.com/p/B7kpV-Jl8jr/
54,intlfashionistaa,2020-01-21T07:41:10.000Z,🤪🤪Hilarious ending!,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
55,brother___1,2020-01-21T08:05:48.000Z,You were our first stand up comedy show ever! It was awesome! #hardtotopthat #youweremyfirst #kenjeongpoppedmycherry,1 like,https://www.instagram.com/p/B7kpV-Jl8jr/
56,dominique_equinimod,2020-01-21T08:25:05.000Z,Im a weak man jimmy 😂😂😂😂,1 like,https://www.instagram.com/p/B7kpV-Jl8jr/
57,directedbysupremo,2020-01-21T08:47:24.000Z,"Don't watch it twice, you'll spoil the fun 😂😂",1 like,https://www.instagram.com/p/B7kpV-Jl8jr/
58,amolina325,2020-01-21T08:54:18.000Z,Hahahaha I like this game....... lol,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
59,amenazavaginal,2020-01-21T10:48:26.000Z,🤣🤣🤣🤣,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
60,_jcruzzz_,2020-01-21T11:02:24.000Z,😂😂😂,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
61,werewolfbymoonknight,2020-01-21T11:26:30.000Z,I love you Chang !!!!,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
62,live19125,2020-01-21T11:50:51.000Z,💘💗💗💗💗,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
63,carochoe,2020-01-21T12:32:42.000Z,"ah, better than tea this morning 😆",Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
64,fatboy_ant,2020-01-21T12:46:43.000Z,There should be a dance class with those moves,Reply,https://www.instagram.com/p/B7kpV-Jl8jr/
